Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,81,1,5,9,2,4,16,6,4,4,2671,41,4,28,9,836,921,29,1,
2013,79,1,6,4,2,4,13,7,5,3,3014,56,18,27,9,801,883,26,1,
2014,78,1,5,4,2,4,13,8,5,3,2977,33,5,23,4,784,872,25,1,
2015,73,1,5,5,2,3,11,8,4,3,2781,39,5,26,8,801,893,34,1,
2016,77,1,5,7,1,3,12,9,4,3,2593,72,4,45,22,823,892,32,1,
2017,77,1,5,6,1,3,12,9,4,3,2604,72,3,45,21,823,892,32,1,
2018,78,1,5,6,1,3,12,9,4,3,2611,73,3,46,22,826,894,33,1,
2019,78,1,5,6,1,3,12,9,4,3,2618,74,3,47,23,828,896,34,1,
2020,79,1,5,6,1,3,12,9,4,3,2626,75,3,47,23,830,898,35,1,
2021,79,1,5,6,1,3,12,9,4,3,2633,76,3,48,24,833,900,36,1,
