Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,31,1,1,2,1,2,3,1,1,3,2722,108,15,81,11,757,836,39,1,
2013,32,1,1,2,1,3,3,1,1,4,2685,182,52,112,17,721,805,28,1,
2014,32,1,1,2,1,3,3,1,1,5,2807,195,50,123,21,710,809,44,12,
2015,29,1,1,2,1,3,3,1,1,3,2880,203,56,121,25,727,803,51,14,
2016,31,1,1,2,1,3,2,1,2,2,2989,234,86,123,24,723,792,52,11,
2017,31,1,1,2,1,3,2,1,1,2,2983,237,85,125,24,723,794,53,11,
2018,31,1,1,2,1,3,2,1,1,2,2993,240,85,127,25,725,795,54,11,
2019,31,1,1,2,1,3,2,1,1,2,3001,243,85,129,25,727,797,56,11,
2020,32,1,1,2,1,3,2,1,1,2,3009,246,85,131,26,729,799,57,12,
2021,32,1,1,2,1,3,2,1,1,2,3018,249,85,133,27,731,801,59,12,
