Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,543,1,21,27,38,32,98,14,38,15,13323,440,159,227,52,676,794,88,1,
2013,525,2,22,24,36,27,97,14,35,18,13070,449,169,240,39,686,783,77,2,
2014,513,2,20,24,38,29,101,17,35,18,12402,436,143,256,35,685,802,81,4,
2015,517,2,20,26,37,29,99,16,34,19,12636,401,126,243,31,691,810,84,3,
2016,516,2,22,25,37,29,95,19,32,18,12983,333,95,201,36,702,816,85,4,
2017,517,2,22,24,37,29,95,19,32,18,13006,338,95,204,37,703,817,87,4,
2018,520,2,22,25,37,29,95,19,31,18,13042,342,95,208,38,705,819,89,4,
2019,523,2,22,25,38,29,95,19,31,18,13078,346,95,211,39,707,821,92,4,
2020,526,2,22,25,38,29,96,20,31,18,13114,351,95,214,40,709,822,95,4,
2021,529,2,22,25,38,29,96,20,31,18,13150,355,95,218,41,711,824,97,4,
