Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,24,1,1,6,2,1,3,1,1,1,2058,60,9,38,12,741,818,10,1,
2013,23,1,1,6,2,1,1,1,1,1,1919,63,11,43,7,760,847,22,1,
2014,21,1,1,5,1,1,1,1,1,1,2014,118,37,73,6,749,838,17,2,
2015,22,1,1,4,1,2,2,1,1,1,1977,140,49,78,12,755,851,18,2,
2016,18,1,1,3,2,1,2,1,1,1,1834,150,58,77,14,733,830,42,2,
2017,18,1,1,3,2,0,1,1,1,1,1843,151,57,78,13,734,831,43,2,
2018,18,1,1,3,2,0,1,1,1,1,1848,153,57,79,14,736,832,44,2,
2019,18,1,1,3,2,0,1,1,1,1,1853,155,57,80,14,739,834,45,2,
2020,18,1,1,3,2,0,1,1,1,1,1858,156,57,82,15,741,836,46,2,
2021,18,1,1,3,2,0,1,1,1,1,1864,158,57,83,15,743,838,48,2,
