Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,111,2,7,9,9,9,13,5,1,4,4587,236,83,131,21,663,779,27,6,
2013,110,2,7,10,9,9,11,6,2,4,4534,250,85,144,20,682,789,26,7,
2014,113,2,7,11,9,9,11,5,1,4,4443,217,71,124,21,673,788,23,6,
2015,109,1,6,12,9,9,12,5,1,3,4268,208,66,115,26,681,799,34,4,
2016,108,1,5,12,9,9,11,5,1,2,4311,208,65,111,31,691,806,46,4,
2017,109,1,5,11,9,9,10,5,1,2,4313,211,65,113,31,692,807,46,4,
2018,109,1,5,11,9,9,10,5,1,2,4326,213,65,115,32,694,809,48,4,
2019,110,1,5,12,9,9,10,5,1,2,4338,216,65,116,33,696,810,49,4,
2020,110,1,5,12,9,9,10,5,1,2,4350,219,65,118,34,698,812,50,4,
2021,111,1,5,12,9,9,11,5,1,2,4362,221,65,120,35,700,814,52,4,
