Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,5,1,1,1,1,1,1,1,1,1,291,223,75,116,30,738,941,44,1,
2013,5,1,1,1,1,1,1,1,1,1,385,480,176,259,44,709,831,36,1,
2014,5,1,1,1,1,1,1,1,1,1,382,473,185,253,34,675,819,15,1,
2015,5,1,1,1,1,1,1,1,1,1,427,437,175,229,32,679,831,18,1,
2016,6,1,1,1,1,1,1,1,1,1,505,526,219,287,19,635,782,7,1,
2017,6,1,1,1,1,1,1,1,1,1,503,534,220,293,19,636,783,7,1,
2018,6,1,1,1,1,1,1,1,1,1,505,541,220,297,20,638,784,7,1,
2019,6,1,1,1,1,1,1,1,1,1,506,548,220,302,20,640,786,7,1,
2020,6,1,1,1,1,1,1,1,1,1,507,554,220,307,21,642,788,7,1,
2021,6,1,1,1,1,1,1,1,1,1,509,561,220,312,21,644,790,8,1,
