Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,64,1,1,9,6,4,7,1,3,3,3315,88,28,55,4,685,775,75,10,
2013,60,1,1,6,7,4,6,2,3,4,3259,129,36,92,1,693,776,63,9,
2014,62,1,1,6,6,4,8,2,3,3,3276,145,38,104,2,677,774,61,5,
2015,66,1,1,10,6,5,8,1,3,4,3290,88,22,63,1,704,781,70,4,
2016,66,1,1,13,6,5,8,1,4,2,3282,74,16,55,2,743,815,64,5,
2017,65,1,1,11,6,4,7,1,3,1,3281,76,16,57,2,741,816,65,5,
2018,66,1,1,12,6,4,8,1,3,1,3290,77,16,57,2,744,818,67,5,
2019,66,1,1,12,6,4,8,1,3,1,3299,78,16,58,2,746,820,69,5,
2020,66,1,1,12,6,4,8,1,3,2,3308,79,16,59,2,748,822,71,5,
2021,67,1,1,12,6,4,8,1,3,2,3317,80,16,60,2,750,823,73,5,
