Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,10,1,1,2,3,1,1,1,2,1,506,59,17,21,19,778,863,102,1,
2013,10,1,1,2,3,1,1,1,2,1,577,72,24,32,15,722,830,77,1,
2014,11,1,1,2,3,1,1,1,2,1,499,98,28,50,20,721,849,60,1,
2015,11,1,1,1,3,1,1,1,2,1,539,109,27,63,18,723,857,57,1,
2016,10,1,1,3,3,1,1,1,1,1,528,113,28,85,1,729,821,66,1,
2017,10,1,1,3,3,1,1,1,1,1,527,113,28,85,1,731,822,68,1,
2018,10,1,1,3,3,1,1,1,1,1,529,115,28,87,1,733,824,70,1,
2019,10,1,1,3,3,1,1,1,1,1,530,116,28,88,1,735,826,71,1,
2020,10,1,1,3,3,1,1,1,1,1,532,118,28,89,1,737,828,74,1,
2021,10,1,1,3,3,1,1,1,1,1,533,119,28,91,1,739,829,76,1,
