Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,29,1,1,3,7,1,3,1,1,2,2491,85,3,71,9,737,820,50,1,
2013,29,1,1,3,6,1,3,1,2,2,2505,87,3,75,7,732,823,48,1,
2014,27,1,1,3,6,1,3,1,2,2,2478,105,12,83,8,745,824,51,1,
2015,27,1,1,2,6,1,4,1,2,2,2316,115,20,81,13,746,819,47,1,
2016,26,1,1,2,6,1,4,1,2,1,2338,100,16,67,16,758,828,41,1,
2017,26,1,1,2,6,1,3,1,1,1,2348,101,15,68,16,760,830,42,1,
2018,26,1,1,2,6,1,3,1,1,1,2355,102,15,69,16,762,832,43,1,
2019,26,1,1,2,6,1,3,1,1,1,2361,103,15,70,17,764,833,44,1,
2020,26,1,1,2,6,1,3,1,1,1,2367,105,15,71,17,767,835,46,1,
2021,26,1,1,2,6,1,3,1,1,1,2374,106,15,72,18,769,837,47,1,
