Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,2,1,1,1,1,1,1,1,1,1,72,333,97,222,13,555,777,27,1,
2013,3,1,1,1,1,1,1,1,1,1,84,476,178,273,23,523,785,23,1,
2014,3,1,1,1,1,1,1,1,1,1,75,466,200,240,26,520,760,26,1,
2015,1,1,1,1,1,1,1,1,1,1,56,553,232,285,35,553,696,35,1,
2016,1,1,1,1,1,1,1,1,1,1,47,553,170,340,42,638,765,21,1,
2017,1,1,1,1,1,1,1,1,1,1,46,559,164,344,41,634,771,21,1,
2018,1,1,1,1,1,1,1,1,1,1,46,565,165,350,43,637,772,21,1,
2019,1,1,1,1,1,1,1,1,1,1,46,572,165,356,44,639,774,22,1,
2020,1,1,1,1,1,1,1,1,1,1,47,579,165,361,45,641,776,23,1,
2021,1,1,1,1,1,1,1,1,1,1,47,587,165,367,46,642,777,23,1,
