Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,203,1,3,12,38,10,13,9,13,15,13599,423,212,189,21,598,718,53,3,
2013,194,1,3,13,41,10,11,8,12,13,13362,403,208,173,21,597,705,47,2,
2014,194,1,3,10,40,9,12,7,10,14,13860,369,178,166,24,601,715,41,3,
2015,194,1,3,12,38,11,13,7,9,13,13667,345,156,165,23,612,738,42,1,
2016,186,1,3,12,37,11,13,7,10,13,13354,341,139,176,25,616,749,44,1,
2017,187,1,3,11,37,10,12,7,10,13,13406,346,139,179,25,616,749,45,1,
2018,188,1,3,11,37,10,12,7,10,13,13441,350,139,181,26,618,751,46,1,
2019,189,1,3,11,38,10,12,7,10,13,13478,355,139,184,27,620,752,47,1,
2020,190,1,3,11,38,10,12,7,9,13,13515,359,139,187,27,622,754,49,1,
2021,191,1,3,12,38,10,13,7,9,13,13553,363,140,190,28,624,756,50,1,
