Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,1016,1,15,78,116,26,231,70,47,10,31149,191,44,136,10,666,816,91,2,
2013,979,1,18,77,106,24,221,67,46,8,30490,180,41,130,8,670,825,97,1,
2014,962,1,17,74,107,25,220,64,46,8,29916,195,37,149,8,665,834,108,7,
2015,963,1,19,77,107,24,226,61,45,11,30143,198,47,143,7,665,827,109,7,
2016,971,1,20,76,112,23,221,61,40,11,30992,193,42,141,9,678,835,104,8,
2017,978,1,19,76,113,23,220,62,39,10,31051,195,41,143,9,680,837,107,8,
2018,983,1,20,76,114,23,221,63,39,10,31138,198,41,146,9,682,839,110,8,
2019,988,1,20,77,115,23,221,63,39,10,31224,200,41,148,9,684,841,113,8,
2020,993,1,20,77,116,23,222,64,39,11,31309,203,41,150,10,686,842,116,8,
2021,999,1,20,78,117,23,222,65,39,11,31395,205,41,153,10,688,844,119,9,
