Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,1,1,1,1,1,1,1,1,1,1,52,134,1,134,1,961,961,173,1,
2013,1,1,1,1,1,1,1,1,1,1,37,162,1,162,1,1000,1000,243,1,
2014,1,1,1,1,1,1,1,1,1,1,65,107,1,107,1,953,969,153,1,
2015,1,1,1,1,1,1,1,1,1,1,64,62,1,62,1,953,968,140,1,
2016,1,1,1,1,1,1,1,1,1,1,73,68,1,54,13,972,986,136,1,
2017,1,1,1,1,1,1,1,1,1,1,73,70,1,56,13,975,988,140,1,
2018,1,1,1,1,1,1,1,1,1,1,73,71,1,56,13,978,990,144,1,
2019,1,1,1,1,1,1,1,1,1,1,73,72,1,57,14,981,992,148,1,
2020,1,1,1,1,1,1,1,1,1,1,73,73,1,58,14,983,995,152,1,
2021,1,1,1,1,1,1,1,1,1,1,73,74,1,59,15,986,997,157,1,
