Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,17,1,1,4,1,1,4,1,1,1,1619,53,4,48,1,776,866,84,1,
2013,17,1,1,4,1,1,2,1,1,1,1819,96,20,70,5,753,836,102,1,
2014,20,1,1,7,1,1,2,1,1,1,1860,121,33,80,7,738,855,115,1,
2015,21,1,1,8,1,1,2,1,1,1,2038,127,40,78,8,730,837,87,1,
2016,20,1,1,8,1,1,2,1,1,1,2091,121,38,77,5,740,828,86,1,
2017,19,1,1,7,1,1,2,1,1,1,2095,122,37,78,5,743,831,89,1,
2018,20,1,1,7,1,1,2,1,1,1,2101,123,37,79,5,745,832,91,1,
2019,20,1,1,8,1,1,2,1,1,1,2107,125,37,80,5,747,834,94,1,
2020,20,1,1,8,1,1,2,1,1,1,2112,127,37,82,5,750,836,97,1,
2021,20,1,1,8,1,1,2,1,1,1,2118,128,37,83,5,752,838,100,1,
