Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,181,1,7,15,18,13,26,3,4,8,5546,117,53,52,11,661,767,54,1,
2013,179,1,7,15,18,11,27,3,5,7,5387,92,32,48,11,673,779,56,1,
2014,184,2,7,20,19,11,28,2,5,8,5437,100,35,54,10,677,790,60,1,
2015,185,3,7,19,19,11,26,3,5,7,5453,101,31,60,10,685,791,68,1,
2016,182,3,7,21,17,10,26,3,5,6,5480,64,12,38,13,687,788,75,1,
2017,183,2,7,21,17,10,26,2,4,6,5492,64,12,38,13,688,789,76,1,
2018,184,2,7,21,17,10,26,2,4,6,5508,65,12,39,13,690,791,79,1,
2019,185,2,7,21,17,10,26,2,4,6,5523,66,12,39,14,692,793,81,1,
2020,186,2,7,21,17,10,26,2,4,6,5538,67,12,40,14,694,795,83,1,
2021,187,2,7,22,17,10,26,3,4,6,5553,68,12,41,15,696,796,85,1,
