Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,23,1,1,3,1,1,1,1,1,1,1210,228,1,132,95,757,883,35,1,
2013,19,1,1,3,1,1,1,1,1,1,1332,317,100,181,35,682,778,54,1,
2014,18,1,1,3,1,1,1,1,1,1,1365,249,70,161,17,692,796,45,1,
2015,17,1,1,3,1,1,1,1,1,1,1091,322,79,230,11,749,813,54,1,
2016,14,1,1,2,1,1,1,1,1,1,1390,364,113,238,12,720,780,26,1,
2017,14,1,1,2,1,1,1,1,1,1,1400,367,111,239,12,714,780,26,1,
2018,14,1,1,2,1,1,1,1,1,1,1404,371,111,243,12,717,782,27,1,
2019,14,1,1,2,1,1,1,1,1,1,1408,375,111,247,13,719,784,28,1,
2020,14,1,1,2,1,1,1,1,1,1,1412,380,111,251,13,721,786,28,1,
2021,14,1,1,2,1,1,1,1,1,1,1416,385,111,255,14,723,787,29,1,
