Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,10,1,2,1,1,1,1,1,1,1,49,510,1,510,1,510,1000,1,1,
2013,10,1,2,1,1,1,1,1,1,1,51,333,1,333,1,686,1000,352,1,
2014,10,1,2,1,1,1,1,1,1,1,52,500,1,500,1,769,1000,269,1,
2015,6,1,2,1,1,1,1,1,1,1,93,591,1,408,182,806,1000,215,1,
2016,11,1,2,1,1,1,1,1,1,1,101,584,1,405,178,603,1000,217,1,
2017,12,1,2,1,1,1,0,1,1,1,99,588,1,416,137,601,1002,225,1,
2018,11,1,2,1,1,1,1,1,1,1,99,596,1,422,143,603,1004,231,1,
2019,12,1,2,1,1,1,1,1,1,1,100,603,1,429,147,605,1006,238,1,
2020,12,1,2,1,1,1,1,1,1,1,100,610,1,436,151,606,1009,244,1,
2021,12,1,2,1,1,1,1,1,1,1,100,618,1,443,156,608,1011,251,1,
