Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,14,1,1,1,6,1,1,1,1,1,112,1,1,1,1,812,812,1,1,
2013,14,1,1,1,6,1,1,1,1,1,82,1,1,1,1,743,865,1,1,
2014,13,1,1,1,5,1,1,1,1,1,78,1,1,1,1,756,871,1,1,
2015,12,1,1,1,4,1,1,1,1,1,72,1,1,1,1,708,833,1,1,
2016,10,1,1,1,3,1,1,1,1,1,83,1,1,1,1,771,891,60,1,
2017,10,1,1,1,3,1,1,1,1,1,83,1,1,1,1,780,895,61,1,
2018,10,1,1,1,3,1,1,1,1,1,83,1,1,1,1,781,897,63,1,
2019,10,1,1,1,3,1,1,1,1,1,83,1,1,1,1,784,899,65,1,
2020,10,1,1,1,3,1,1,1,1,1,84,1,1,1,1,786,901,67,1,
2021,10,1,1,1,3,1,1,1,1,1,84,1,1,1,1,788,903,69,1,
