Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,23,2,1,4,1,1,1,2,1,1,1644,259,66,184,7,667,782,17,1,
2013,25,2,1,4,1,2,1,2,1,1,1615,218,63,142,12,659,760,6,1,
2014,24,2,1,5,1,2,1,2,1,1,1569,182,42,120,19,713,789,21,1,
2015,24,2,1,4,1,2,1,1,1,1,1635,65,1,46,18,668,782,23,1,
2016,27,2,1,4,1,2,2,1,1,1,1947,95,1,75,19,694,802,34,1,
2017,27,2,1,4,1,1,2,1,1,1,1948,95,1,77,19,702,805,34,1,
2018,27,2,1,4,1,2,2,1,1,1,1953,97,1,78,20,703,806,35,1,
2019,27,2,1,4,1,2,2,1,1,1,1959,98,1,79,20,705,808,36,1,
2020,27,2,1,4,1,2,2,1,1,1,1964,99,1,81,21,708,810,37,1,
2021,27,2,1,4,1,2,2,1,1,1,1969,101,1,82,22,710,812,39,1,
