Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,91,4,1,22,5,6,6,2,3,8,4797,65,24,33,8,677,770,58,1,
2013,93,3,1,21,5,7,7,2,4,7,4918,83,36,39,7,658,773,55,1,
2014,87,3,1,21,5,7,8,2,4,4,4927,88,36,44,7,659,772,51,1,
2015,87,3,1,19,7,7,5,2,4,5,5109,93,38,45,9,648,777,42,1,
2016,85,3,1,20,5,7,6,2,3,5,5151,99,39,46,14,649,787,50,1,
2017,85,3,1,20,4,6,6,2,2,4,5172,99,38,46,14,652,788,51,1,
2018,85,3,1,20,4,6,6,2,2,4,5185,101,38,47,14,654,790,53,1,
2019,86,3,1,20,4,7,6,2,2,5,5200,102,38,48,15,656,792,54,1,
2020,86,3,1,21,5,7,6,2,2,5,5214,103,38,49,15,658,793,56,1,
2021,87,3,1,21,5,7,6,2,2,5,5228,104,38,49,15,660,795,57,1,
