Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,40,1,1,2,1,1,16,1,1,1,5730,159,99,60,1,363,536,13,1,
2013,35,1,1,2,1,1,12,1,1,1,6068,169,109,59,1,378,521,16,1,
2014,35,1,1,2,2,1,10,1,1,1,6349,134,81,53,1,383,550,16,1,
2015,36,1,1,2,2,1,13,1,1,1,6173,119,69,49,1,410,577,19,1,
2016,36,1,1,2,2,1,14,1,1,1,6215,67,37,30,1,412,595,24,1,
2017,36,1,1,2,2,1,13,1,1,1,6228,68,37,30,1,409,594,24,1,
2018,36,1,1,2,2,1,13,1,1,1,6247,69,37,31,1,411,596,25,1,
2019,36,1,1,2,2,1,13,1,1,1,6263,70,37,31,1,412,597,25,1,
2020,36,1,1,2,2,1,13,1,1,1,6281,71,37,32,1,413,598,26,1,
2021,36,1,1,2,2,1,13,1,1,1,6298,71,37,32,1,414,600,27,1,
