Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,12,1,1,1,1,1,3,1,4,1,531,1,1,1,1,738,845,56,1,
2013,14,1,1,2,1,1,3,1,4,1,778,11,1,1,11,718,838,37,1,
2014,12,1,1,1,1,1,2,1,4,1,846,118,55,50,11,711,809,54,26,
2015,11,1,1,1,1,1,2,1,4,1,876,100,45,43,11,712,820,63,21,
2016,12,1,1,1,1,1,2,1,4,1,901,84,36,36,11,720,843,47,17,
2017,12,1,1,1,1,1,2,1,3,1,899,85,36,36,11,722,844,48,17,
2018,12,1,1,1,1,1,2,1,3,1,902,86,36,37,11,724,846,49,18,
2019,12,1,1,1,1,1,2,1,3,1,905,87,36,37,11,726,848,50,18,
2020,12,1,1,1,1,1,2,1,3,1,907,88,36,38,12,728,850,52,18,
2021,12,1,1,1,1,1,2,1,3,1,910,89,36,39,12,730,851,53,19,
