Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,122,1,5,6,16,1,15,5,1,1,5153,148,63,79,6,673,793,76,6,
2013,123,1,6,5,15,1,13,5,2,1,5350,161,54,97,8,676,797,58,1,
2014,121,1,3,5,14,1,13,5,2,1,5384,114,31,75,7,687,809,51,1,
2015,116,1,3,5,15,1,11,4,1,1,5469,98,29,64,5,717,821,44,1,
2016,119,1,5,4,15,1,13,5,2,2,5723,89,27,56,5,697,813,49,1,
2017,120,1,5,4,15,1,13,5,2,2,5722,91,27,57,5,695,814,50,1,
2018,120,1,5,4,15,1,13,5,2,2,5740,92,27,58,5,697,816,52,1,
2019,121,1,5,4,15,1,13,5,2,2,5755,93,27,59,5,699,817,53,1,
2020,121,1,5,4,15,1,13,5,2,2,5771,94,27,60,5,701,819,55,1,
2021,122,1,5,4,15,1,13,5,2,2,5787,95,27,61,5,703,821,56,1,
