Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,983,1,21,90,127,15,205,51,32,15,32945,101,39,56,6,655,794,106,1,
2013,972,1,22,87,123,15,208,52,31,12,33333,92,33,50,8,666,803,112,1,
2014,956,1,24,86,123,16,198,47,32,13,34237,106,39,59,7,650,800,111,2,
2015,959,1,25,84,135,18,188,48,32,16,34855,105,40,55,9,655,789,99,2,
2016,962,1,29,84,139,18,190,47,30,16,35616,105,39,57,8,646,776,98,3,
2017,969,1,29,85,138,17,192,47,29,15,35717,106,38,58,8,647,778,101,3,
2018,973,1,29,85,140,17,192,48,29,15,35816,107,39,59,8,649,780,104,3,
2019,979,1,29,86,141,17,192,48,29,16,35914,109,39,60,8,651,781,107,3,
2020,984,1,29,87,142,17,193,49,29,16,36013,110,39,61,8,653,783,110,3,
2021,989,1,30,87,144,17,193,50,29,16,36112,111,39,62,9,655,785,113,3,
