Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,964,1,20,132,91,18,228,100,28,9,29738,111,27,62,21,794,866,70,1,
2013,984,1,19,122,91,21,228,108,34,15,29433,118,23,67,26,794,873,61,1,
2014,1013,1,19,120,88,25,243,118,33,11,30826,120,30,67,23,790,869,59,1,
2015,1060,1,25,138,94,24,240,134,32,12,31799,122,26,69,27,790,873,65,1,
2016,1078,1,21,139,105,23,256,146,29,12,32285,126,23,68,34,801,888,63,1,
2017,1081,1,20,137,105,23,258,145,29,12,32417,127,23,69,34,803,889,64,1,
2018,1087,1,20,138,106,23,258,147,28,12,32497,128,23,70,35,806,891,66,1,
2019,1092,1,20,139,107,23,259,149,28,12,32588,130,23,71,36,808,893,68,1,
2020,1098,1,21,140,108,23,260,151,28,12,32677,132,23,72,37,810,895,70,1,
2021,1104,1,21,141,109,23,260,153,28,12,32767,133,23,73,39,813,897,72,1,
