Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,75,1,1,23,2,3,8,2,6,6,2924,29,11,16,1,656,728,37,1,
2013,75,1,2,22,2,3,9,3,6,6,2872,35,16,18,1,648,742,36,1,
2014,85,1,2,25,2,3,9,4,6,8,2525,35,19,16,1,694,794,47,1,
2015,88,1,2,24,3,3,8,6,7,7,2777,43,20,23,1,702,797,50,1,
2016,89,1,2,25,2,3,9,5,6,6,3022,35,10,22,2,722,806,56,1,
2017,89,1,2,25,1,3,9,4,5,6,3028,35,10,22,2,723,807,57,1,
2018,90,1,2,25,1,3,9,4,5,6,3037,35,10,22,2,725,809,59,1,
2019,90,1,2,25,1,3,9,4,5,6,3045,36,10,22,2,727,811,60,1,
2020,91,1,2,26,1,3,9,4,5,6,3053,36,10,23,2,729,813,62,1,
2021,91,1,2,26,2,3,9,5,5,6,3062,36,10,23,2,731,814,64,1,
