Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,2,1,1,1,1,1,1,1,1,1,256,62,1,1,62,683,792,46,1,
2013,2,1,1,1,1,1,1,1,1,1,270,66,1,1,66,655,781,29,1,
2014,2,1,1,1,1,1,1,1,1,1,100,1,1,1,1,500,500,1,1,
2015,2,1,1,1,1,1,1,1,1,1,119,1,1,1,1,554,554,1,1,
2016,2,1,1,1,1,1,1,1,1,1,87,1,1,1,1,586,586,1,1,
2017,2,1,1,1,1,1,1,1,1,1,86,1,1,1,1,579,583,1,1,
2018,2,1,1,1,1,1,1,1,1,1,86,1,1,1,1,582,585,1,1,
2019,2,1,1,1,1,1,1,1,1,1,87,1,1,1,1,584,586,1,1,
2020,2,1,1,1,1,1,1,1,1,1,87,1,1,1,1,585,587,1,1,
2021,2,1,1,1,1,1,1,1,1,1,87,1,1,1,1,587,589,1,1,
