Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,10,1,1,2,1,1,1,1,1,3,884,152,29,84,38,744,858,74,1,
2013,10,1,1,2,1,1,1,1,1,3,966,154,31,82,40,717,839,81,1,
2014,8,1,1,2,1,1,1,1,1,1,1045,145,31,75,38,730,853,78,1,
2015,9,1,1,2,1,1,1,1,1,2,1027,119,18,52,48,713,829,63,1,
2016,8,1,1,2,1,1,1,1,1,1,1040,116,20,40,55,718,825,64,1,
2017,7,1,1,2,1,1,1,1,1,1,1046,117,20,41,56,722,828,66,1,
2018,7,1,1,2,1,1,1,1,1,1,1048,119,20,41,58,724,830,68,1,
2019,8,1,1,2,1,1,1,1,1,1,1051,120,20,42,60,726,832,70,1,
2020,8,1,1,2,1,1,1,1,1,1,1054,122,20,43,61,728,834,72,1,
2021,8,1,1,2,1,1,1,1,1,1,1057,123,20,43,63,731,835,74,1,
