Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,109,1,4,13,3,6,16,5,21,7,2347,121,49,62,9,607,764,90,1,
2013,114,1,4,15,4,8,16,5,20,7,1708,37,1,29,8,675,841,109,1,
2014,113,1,3,12,4,8,20,6,20,7,2358,145,58,80,6,639,826,62,1,
2015,113,1,3,15,4,7,17,6,20,7,2101,114,45,69,1,658,821,81,7,
2016,109,1,4,13,4,7,17,6,21,7,2030,153,46,91,15,694,858,79,5,
2017,109,1,4,12,4,7,17,6,20,7,2030,156,46,93,16,693,860,80,4,
2018,110,1,4,12,4,7,17,6,20,7,2036,158,46,94,17,695,862,82,4,
2019,110,1,4,12,4,7,17,6,20,7,2042,160,46,96,17,697,864,85,4,
2020,111,1,4,12,4,7,17,6,20,7,2047,162,46,97,18,700,866,87,4,
2021,111,1,4,12,4,7,17,6,20,7,2053,164,46,99,18,702,868,90,5,
