Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,13,1,1,5,1,1,3,1,1,1,1243,118,36,58,23,769,867,66,1,
2013,14,1,1,5,1,1,3,1,1,1,1263,65,7,35,22,756,873,84,1,
2014,12,1,1,5,1,1,2,1,1,1,1122,67,4,38,24,787,897,41,1,
2015,13,1,1,5,1,1,2,1,1,1,1175,19,5,14,1,735,826,54,1,
2016,15,1,1,5,1,1,3,1,1,1,1319,29,1,29,1,746,833,31,1,
2017,14,1,1,5,1,1,3,1,1,1,1301,31,1,30,1,755,839,31,1,
2018,15,1,1,5,1,1,3,1,1,1,1306,31,1,31,1,756,840,32,1,
2019,15,1,1,5,1,1,3,1,1,1,1310,31,1,31,1,759,842,33,1,
2020,15,1,1,5,1,1,3,1,1,1,1313,32,1,32,1,761,844,34,1,
2021,15,1,1,5,1,1,3,1,1,1,1317,32,1,32,1,763,846,35,1,
