Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,109,3,1,24,9,1,8,1,2,4,9055,144,51,80,12,675,809,33,3,
2013,98,2,1,22,8,1,7,1,2,4,8919,136,41,83,11,690,820,40,3,
2014,105,2,2,22,8,1,5,1,3,4,8970,126,42,72,11,683,807,38,1,
2015,105,2,2,20,9,1,8,1,2,6,8977,128,47,67,12,688,801,48,1,
2016,114,2,2,22,11,1,11,2,2,5,8875,146,49,80,17,682,803,49,1,
2017,115,2,2,22,10,1,10,2,2,4,8877,148,48,81,17,683,805,49,1,
2018,116,2,2,22,11,1,10,2,2,4,8906,149,48,82,18,685,807,51,1,
2019,116,2,2,22,11,1,10,2,2,4,8930,151,48,84,18,687,808,52,1,
2020,117,2,2,23,11,1,10,2,2,4,8954,153,48,85,19,689,810,54,1,
2021,118,2,2,23,11,1,10,2,2,5,8979,155,48,87,19,691,812,55,1,
