Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,320,1,9,42,25,4,72,35,18,15,23592,36,10,23,2,587,747,34,1,
2013,327,1,9,46,28,3,71,34,18,16,23524,41,12,26,2,593,748,34,1,
2014,346,1,12,49,34,4,75,35,15,18,24204,40,11,26,3,595,745,33,1,
2015,369,1,12,51,34,5,84,34,17,19,23369,43,12,26,4,601,755,29,1,
2016,384,1,9,53,36,4,88,41,17,19,23488,41,10,25,5,614,764,32,1,
2017,382,1,9,53,36,3,86,41,16,19,23647,41,9,25,5,615,765,33,1,
2018,385,1,9,53,36,3,87,42,16,19,23703,41,9,25,5,617,766,34,1,
2019,386,1,9,53,37,3,87,42,16,19,23769,42,9,26,5,618,768,34,1,
2020,389,1,9,54,37,3,87,43,16,19,23835,43,9,26,5,620,770,35,1,
2021,391,1,9,54,37,3,87,43,16,20,23900,43,9,27,5,622,772,37,1,
