Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,458,1,7,58,25,23,43,24,45,58,34080,155,65,82,7,643,738,66,1,
2013,467,1,7,63,23,24,41,25,41,62,33626,150,57,82,9,654,744,79,1,
2014,489,1,8,62,25,25,42,29,38,66,34833,155,57,89,9,647,752,84,3,
2015,506,1,9,73,21,24,46,29,40,67,36197,152,54,87,9,648,750,87,2,
2016,511,1,9,79,22,23,52,32,45,57,38093,129,45,76,8,660,755,86,2,
2017,511,1,8,77,22,23,51,32,44,57,38179,130,45,77,8,662,756,88,2,
2018,514,1,9,78,22,23,51,32,44,58,38277,132,45,78,8,664,758,90,2,
2019,516,1,9,78,23,23,51,33,44,59,38384,133,45,79,8,666,760,93,2,
2020,519,1,9,79,23,23,51,33,44,59,38489,135,45,81,8,667,761,96,2,
2021,522,1,9,79,23,23,51,34,43,60,38595,137,45,82,9,669,763,98,2,
