Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,66,3,5,13,4,1,5,1,2,2,1454,82,30,38,13,814,876,43,1,
2013,64,3,4,13,4,2,6,1,2,3,1278,85,32,35,17,849,911,38,1,
2014,67,3,4,13,4,2,6,1,2,4,1333,146,46,72,27,829,903,49,1,
2015,69,4,4,13,4,3,6,1,2,3,1340,140,42,64,33,839,889,75,1,
2016,67,4,4,14,4,3,5,1,2,3,1360,157,41,77,37,835,885,84,1,
2017,67,3,4,14,4,2,5,1,1,3,1359,159,41,78,37,836,888,85,1,
2018,67,3,4,14,4,2,5,1,1,3,1363,161,41,79,38,839,889,87,1,
2019,67,3,4,14,4,2,5,1,1,3,1367,163,41,81,40,841,891,90,1,
2020,68,3,4,14,4,2,5,1,1,3,1370,165,41,82,41,844,893,92,1,
2021,68,3,4,14,4,2,5,1,1,3,1374,167,41,83,42,846,895,95,1,
