Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,6,1,1,1,1,1,1,1,1,2,1087,247,105,130,11,760,821,1,1,
2013,6,1,1,1,1,1,1,1,1,1,1002,241,79,137,23,735,855,62,1,
2014,10,1,1,1,1,1,1,1,1,1,960,260,104,133,22,636,768,84,1,
2015,8,1,1,1,1,1,1,1,1,1,816,250,156,93,1,623,778,137,1,
2016,8,1,1,1,1,1,1,1,1,1,713,180,100,79,1,639,810,159,1,
2017,8,1,1,1,1,1,1,1,1,1,707,183,97,81,1,642,811,160,1,
2018,8,1,1,1,1,1,1,1,1,1,710,185,97,82,1,644,813,165,1,
2019,8,1,1,1,1,1,1,1,1,1,712,187,97,84,1,646,814,169,1,
2020,8,1,1,1,1,1,1,1,1,1,714,190,97,85,1,648,816,174,1,
2021,8,1,1,1,1,1,1,1,1,1,716,192,97,86,1,650,818,179,1,
