Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,13,1,1,2,3,1,1,1,1,1,645,229,86,117,24,672,827,159,6,
2013,10,1,1,2,2,1,1,1,1,1,767,220,74,131,14,599,736,114,6,
2014,12,1,1,2,2,1,2,1,1,1,841,162,55,93,13,607,745,110,4,
2015,11,1,1,3,2,1,2,1,1,1,938,202,76,123,2,602,772,139,1,
2016,9,1,1,2,1,1,2,1,1,1,979,153,61,90,1,640,715,106,1,
2017,9,1,1,1,1,1,2,1,1,1,974,153,60,90,1,642,714,108,1,
2018,9,1,1,1,1,1,2,1,1,1,977,155,60,92,1,644,716,111,1,
2019,9,1,1,1,1,1,2,1,1,1,980,157,60,93,1,646,718,114,1,
2020,9,1,1,1,1,1,2,1,1,1,983,159,60,95,1,648,719,117,1,
2021,9,1,1,1,1,1,2,1,1,1,985,161,60,96,1,650,721,120,1,
