Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,3,1,1,1,1,1,1,1,1,1,301,6,1,6,1,764,843,83,1,
2013,4,1,1,1,1,1,1,1,1,1,280,17,1,17,1,796,882,82,1,
2014,4,1,1,1,1,1,1,1,1,1,230,34,1,21,13,795,900,100,1,
2015,3,1,1,1,1,1,1,1,1,1,279,96,39,32,25,777,870,146,1,
2016,3,1,1,1,1,1,1,1,1,1,216,125,37,37,50,828,870,134,1,
2017,3,1,1,1,1,1,1,1,1,1,213,125,31,37,49,833,873,135,1,
2018,3,1,1,1,1,1,1,1,1,1,214,127,31,38,51,835,874,139,1,
2019,3,1,1,1,1,1,1,1,1,1,214,128,31,38,52,838,876,143,1,
2020,3,1,1,1,1,1,1,1,1,1,215,130,31,39,54,840,878,147,1,
2021,3,1,1,1,1,1,1,1,1,1,215,131,31,40,55,842,880,152,1,
