Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,23,1,1,2,1,1,3,3,2,1,586,11,1,11,1,773,839,49,1,
2013,23,1,1,2,1,1,4,2,2,1,649,18,1,18,1,758,838,52,1,
2014,23,1,2,2,1,1,3,2,2,1,737,47,6,40,1,744,846,47,1,
2015,25,1,2,6,1,1,2,2,2,1,746,48,5,42,1,733,861,58,1,
2016,24,1,2,6,1,1,1,2,2,1,742,52,6,45,1,725,858,49,1,
2017,23,1,2,4,1,1,1,2,1,1,747,52,6,45,1,728,859,50,1,
2018,23,1,2,4,1,1,1,2,1,1,748,53,6,46,1,730,861,51,1,
2019,24,1,2,4,1,1,1,2,1,1,750,53,6,47,1,733,862,52,1,
2020,24,1,2,5,1,1,1,2,1,1,752,54,6,47,1,735,864,54,1,
2021,24,1,2,5,1,1,1,2,1,1,754,55,6,48,1,737,866,55,1,
