Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,27,1,1,14,1,2,2,1,1,1,2480,65,14,41,8,672,796,84,1,
2013,27,1,1,15,1,2,2,1,1,1,2230,61,14,37,8,708,820,98,1,
2014,25,1,1,15,1,2,2,1,1,1,2175,67,17,40,9,689,804,96,1,
2015,23,1,1,12,1,3,2,1,1,1,2003,39,1,36,1,722,844,85,1,
2016,22,1,1,11,1,3,2,1,1,1,2394,27,1,25,1,676,808,36,1,
2017,22,1,1,11,1,2,2,1,1,1,2401,27,1,25,1,673,808,37,1,
2018,22,1,1,11,1,2,2,1,1,1,2409,27,1,25,1,676,809,38,1,
2019,22,1,1,11,1,2,2,1,1,1,2415,27,1,26,1,678,811,39,1,
2020,22,1,1,11,1,2,2,1,1,1,2422,28,1,26,1,680,813,40,1,
2021,22,1,1,11,1,2,2,1,1,1,2429,28,1,26,1,682,815,41,1,
