Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,746,1,24,30,59,41,52,36,152,16,29403,456,165,248,42,620,764,59,4,
2013,762,1,26,29,60,40,60,36,145,18,29708,464,169,257,37,632,754,54,3,
2014,780,1,21,30,54,39,70,45,138,14,29781,420,144,239,37,642,768,56,2,
2015,808,1,29,32,60,39,82,43,140,14,31364,393,138,219,35,635,771,57,1,
2016,833,1,35,28,58,40,89,41,126,14,31440,370,126,207,36,641,773,62,1,
2017,840,1,33,28,58,40,87,42,125,14,31522,375,126,211,37,644,774,63,1,
2018,843,1,34,28,58,40,87,42,124,14,31605,380,126,214,38,645,776,65,1,
2019,848,1,34,28,59,40,88,43,124,14,31692,384,126,217,39,647,778,67,1,
2020,853,1,34,28,59,40,88,43,124,14,31779,389,126,221,40,649,779,69,1,
2021,857,1,35,28,60,40,88,44,123,15,31866,394,126,225,41,651,781,71,1,
