Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,45,2,2,3,10,2,3,3,1,3,3163,281,84,139,57,709,833,56,1,
2013,44,2,2,3,10,2,3,3,1,3,3188,254,73,136,44,673,802,53,1,
2014,40,2,3,2,9,2,3,2,1,3,3028,262,76,150,35,687,807,56,1,
2015,39,2,3,1,9,2,3,2,1,4,2961,277,71,169,36,717,832,51,1,
2016,39,2,2,1,10,2,3,2,1,4,2926,268,90,139,38,725,810,58,1,
2017,39,2,2,1,10,2,2,2,1,3,2932,271,90,140,38,723,810,59,1,
2018,39,2,2,1,10,2,3,2,1,3,2942,274,90,143,40,725,812,61,1,
2019,39,2,2,1,10,2,3,2,1,3,2949,278,90,145,41,727,814,63,1,
2020,39,2,2,1,10,2,3,2,1,4,2958,281,90,147,42,730,815,65,1,
2021,40,2,2,1,10,2,3,2,1,4,2966,285,90,150,43,732,817,67,1,
